Combination,myPort,Risk
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'KCE')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'HCA')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'AMZN')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'LH')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'CVX')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'ORI')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'KCE')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'HCA')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'AMZN')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'SCB', 'AVGO', 'O')",[0.    0.    0.571 0.429 0.   ],2.5726313626765234
"('SAPPE', 'UNH', 'JPM', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'JPM', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'JPM', 'ABBV', 'AVGO')",[0.    0.    0.    0.526 0.474],3.6383210926986136
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'KCE')",[0.    0.    0.508 0.492 0.   ],3.772936764305062
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'HCA')",[0.    0.    0.508 0.492 0.   ],3.772936764305062
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'AMZN')",[0.    0.    0.508 0.492 0.   ],3.772936764305062
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'JPM', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'Visa', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'Visa', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'Visa', 'ABBV', 'AVGO')",[0.    0.    0.    0.526 0.474],3.6383210926986136
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
